Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.993,16.219,0.0,0.0,0.0,-0.583
0.02,3.048,16.474,0.0,0.0,0.0,-0.583
0.04,3.104,16.729,0.0,0.0,0.0,-0.583
0.06,5.043,16.846,0.045,0.0,0.002,-0.583
0.08,7.085,16.955,0.092,0.0,0.003,-0.583
0.1,5.267,17.343,0.046,0.0,0.003,-0.583
0.12,5.114,17.608,0.04,0.0,0.005,-0.583
0.14,7.193,17.715,0.088,0.0,0.007,-0.583
0.16,7.433,17.953,0.091,0.0,0.009,-0.583
0.18,5.505,18.348,0.043,0.0,0.009,-0.583
0.2,5.493,18.603,0.04,0.0,0.01,-0.583
0.22,5.707,18.847,0.043,0.0,0.01,-0.583
0.24,5.835,19.092,0.044,0.0,0.012,-0.583
0.26,7.765,19.209,0.088,0.0,0.014,-0.583
0.28,6.091,19.586,0.046,0.0,0.014,-0.583
0.3,4.073,19.988,-0.005,0.0,0.014,-0.583
0.32,5.148,17.377,0.041,0.134,0.016,-0.578
0.34,4.538,14.741,0.047,0.276,0.016,-0.573
