Tiempo ,CORRIENT,VELOCIDA,ENTRADA
,,,
0,0.001,-0.003,0
0.01,0,-0.003,0
0.02,0,0,0
0.03,0,0.003,0
0.04,0,0.003,0
0.05,0,0.003,0
0.06,0,0.003,0
0.07,0.001,0,0
0.08,0,0,0
0.09,0,0,0
0.1,-0.001,0,0
0.11,0,0.003,0
0.12,0,0.003,0
0.13,0.001,0,0
0.14,0,0,0
0.15,0,0.003,0
0.16,0,0,0
0.17,0,0,0
0.18,0,0.003,0
0.19,0,0,0
0.2,0,0,0
0.21,0.001,0.003,0
0.22,0,0,0
0.23,0.001,0.003,0
0.24,0,0,0
0.25,0,0,0
0.26,0,0.003,0
0.27,0,0,0
0.28,0.001,0,0
0.29,0.001,0,0
0.3,0,0,0
0.31,0,0.003,0
0.32,0,0,0
0.33,0.001,0,0
0.34,0.001,0,0
0.35,0,0,0
0.36,0.001,0.003,0
0.37,0,0,0
0.38,0.001,0,0
0.39,0.001,0,0
0.4,0,0,0
0.41,0.001,0,0
0.42,0,0,0
0.43,0.001,0,0
0.44,0.001,0,0
0.45,0,0,0
0.46,0,0,0
0.47,0,0,0
0.48,0.001,0,0
0.49,0.001,0,0
0.5,0,0,0
0.51,0,0,0
0.52,0.562,0.037,3
0.53,0.491,0.775,3
0.54,0.44,1.293,3
0.55,0.415,1.59,3
0.56,0.394,1.873,3
0.57,0.366,2.102,3
0.58,0.34,2.245,3
0.59,0.336,2.4,3
0.6,0.312,2.495,3
0.61,0.301,2.67,3
0.62,0.289,2.785,3
0.63,0.278,2.887,3
0.64,0.28,2.93,3
0.65,0.269,3.072,3
0.66,0.249,3.17,3
0.67,0.247,3.268,3
0.68,0.236,3.33,3
0.69,0.227,3.39,3
0.7,0.227,3.433,3
0.71,0.222,3.498,3
0.72,0.208,3.577,3
0.73,0.201,3.58,3
0.74,0.196,3.658,3
0.75,0.194,3.733,3
0.76,0.186,3.71,3
0.77,0.19,3.78,3
0.78,0.174,3.868,3
0.79,0.181,3.785,3
0.8,0.173,3.893,3
0.81,0.175,3.9,3
0.82,0.172,3.938,3
0.83,0.177,3.997,3
0.84,0.17,3.945,3
0.85,0.158,4.017,3
0.86,0.161,3.98,3
0.87,0.148,4.08,3
0.88,0.163,4.04,3
0.89,0.146,4.078,3
0.9,0.148,4.085,3
0.91,0.147,4.13,3
0.92,0.144,4.102,3
0.93,0.146,4.17,3
0.94,0.14,4.128,3
0.95,0.14,4.182,3
0.96,0.142,4.157,3
0.97,0.135,4.18,3
0.98,0.149,4.18,3
0.99,0.131,4.222,3
1,0.148,4.135,3
